,name,year,wins,losses,ot-losses,pct,gf,ga,diff
100,Boston Bruins,1990,44,24,,0.55,299,264,35
101,Buffalo Sabres,1990,31,30,,0.388,292,278,14
102,Calgary Flames,1990,46,26,,0.575,344,263,81
103,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
104,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
105,Edmonton Oilers,1990,37,37,,0.463,272,272,0
106,Hartford Whalers,1990,31,38,,0.388,238,276,-38
107,Los Angeles Kings,1990,46,24,,0.575,340,254,86
108,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
109,Montreal Canadiens,1990,39,30,,0.487,273,249,24
110,New Jersey Devils,1990,32,33,,0.4,272,264,8
111,New York Islanders,1990,25,45,,0.313,223,290,-67
112,New York Rangers,1990,36,31,,0.45,297,265,32
113,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
114,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37
115,Quebec Nordiques,1990,16,50,,0.2,236,354,-118
116,St. Louis Blues,1990,47,22,,0.588,310,250,60
117,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77
118,Vancouver Canucks,1990,28,43,,0.35,243,315,-72
119,Washington Capitals,1990,37,36,,0.463,258,258,0
120,Winnipeg Jets,1990,26,43,,0.325,260,288,-28
121,Boston Bruins,1991,36,32,,0.45,270,275,-5
122,Buffalo Sabres,1991,31,37,,0.388,289,299,-10
123,Calgary Flames,1991,31,37,,0.388,296,305,-9
124,Chicago Blackhawks,1991,36,29,,0.45,257,236,21
25,Detroit Red Wings,1991,43,25,,0.537,320,256,64
26,Edmonton Oilers,1991,36,34,,0.45,295,297,-2
27,Hartford Whalers,1991,26,41,,0.325,247,283,-36
28,Los Angeles Kings,1991,35,31,,0.438,287,296,-9
29,Minnesota North Stars,1991,32,42,,0.4,246,278,-32
30,Montreal Canadiens,1991,41,28,,0.512,267,207,60
31,New Jersey Devils,1991,38,31,,0.475,289,259,30
32,New York Islanders,1991,34,35,,0.425,291,299,-8
33,New York Rangers,1991,50,25,,0.625,321,246,75
34,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21
35,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35
36,Quebec Nordiques,1991,20,48,,0.25,255,318,-63
37,San Jose Sharks,1991,17,58,,0.212,219,359,-140
38,St. Louis Blues,1991,36,33,,0.45,279,266,13
39,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60
40,Vancouver Canucks,1991,42,26,,0.525,285,250,35
41,Washington Capitals,1991,45,27,,0.563,330,275,55
42,Winnipeg Jets,1991,33,32,,0.412,251,244,7
43,Boston Bruins,1992,51,26,,0.607,332,268,64
44,Buffalo Sabres,1992,38,36,,0.452,335,297,38
45,Calgary Flames,1992,43,30,,0.512,322,282,40
46,Chicago Blackhawks,1992,47,25,,0.56,279,230,49
47,Detroit Red Wings,1992,47,28,,0.56,369,280,89
48,Edmonton Oilers,1992,26,50,,0.31,242,337,-95
49,Hartford Whalers,1992,26,52,,0.31,284,369,-85
532,Los Angeles Kings,1992,39,35,,0.464,338,340,-2
533,Minnesota North Stars,1992,36,38,,0.429,272,293,-21
534,Montreal Canadiens,1992,48,30,,0.571,326,280,46
535,New Jersey Devils,1992,40,37,,0.476,308,299,9
536,New York Islanders,1992,40,37,,0.476,335,297,38
537,New York Rangers,1992,34,39,,0.405,304,308,-4
538,Ottawa Senators,1992,10,70,,0.119,202,395,-193
539,Philadelphia Flyers,1992,36,37,,0.429,319,319,0
540,Pittsburgh Penguins,1992,56,21,,0.667,367,268,99
541,Quebec Nordiques,1992,47,27,,0.56,351,300,51
542,San Jose Sharks,1992,11,71,,0.131,218,414,-196
543,St. Louis Blues,1992,37,36,,0.44,282,278,4
544,Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87
545,Toronto Maple Leafs,1992,44,29,,0.524,288,241,47
546,Vancouver Canucks,1992,46,29,,0.548,346,278,68
547,Washington Capitals,1992,43,34,,0.512,325,286,39
548,Winnipeg Jets,1992,40,37,,0.476,322,320,2
550,Boston Bruins,1993,42,29,,0.5,289,252,37
551,Buffalo Sabres,1993,43,32,,0.512,282,218,64
552,Calgary Flames,1993,42,29,,0.5,302,256,46
553,Chicago Blackhawks,1993,39,36,,0.464,254,240,14
554,Dallas Stars,1993,42,29,,0.5,286,265,21
555,Detroit Red Wings,1993,46,30,,0.548,356,275,81
556,Edmonton Oilers,1993,25,45,,0.298,261,305,-44
300,Florida Panthers,1993,33,34,,0.393,233,233,0
301,Hartford Whalers,1993,27,48,,0.321,227,288,-61
302,Los Angeles Kings,1993,27,45,,0.321,294,322,-28
549,Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22
303,Montreal Canadiens,1993,41,29,,0.488,283,248,35
304,New Jersey Devils,1993,47,25,,0.56,306,220,86
305,New York Islanders,1993,36,36,,0.429,282,264,18
306,New York Rangers,1993,52,24,,0.619,299,231,68
307,Ottawa Senators,1993,14,61,,0.167,201,397,-196
308,Philadelphia Flyers,1993,35,39,,0.417,294,314,-20
309,Pittsburgh Penguins,1993,44,27,,0.524,299,285,14
310,Quebec Nordiques,1993,34,42,,0.405,277,292,-15
